Clade	Lowest_taxonomic_level	Kingdom	Phylum	Class	Order	Family	Genus	Species
1	s__Eubacterium_cylindroides	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Eubacterium cylindroides
2	s__Butyricicoccus_pullicaecorum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus pullicaecorum
3	o__Bifidobacteriales	Order	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	NA	NA	NA
4	f__Lachnospiraceae	Family	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
5	s__Ruminococcus_sp	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp
6	g__Ruminococcus	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	NA
7	s__Clostridium_sp_ATCC_BAA_442	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp ATCC BAA 442
8	s__Bifidobacterium_pseudocatenulatum	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum
9	s__Dorea_formicigenerans	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans
10	f__Enterobacteriaceae	Family	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
11	g__Megamonas	Genus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	NA
12	s__Erysipelotrichaceae_bacterium_5_2_54FAA	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Erysipelotrichaceae bacterium 5 2 54FAA
13	s__Ruminococcus_sp_5_1_39BFAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp 5 1 39BFAA
14	s__Faecalibacterium_prausnitzii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
15	s__Catenibacterium_mitsuokai	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	Catenibacterium mitsuokai
16	s__Ruminococcus_sp_JC304	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp JC304
17	o__Clostridiales	Order	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
18	s__Bifidobacterium_longum	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
19	g__Bifidobacterium	Genus	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
20	s__Blautia_sp_KLE_1732	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp KLE 1732
21	s__Veillonella_sp_HPA0037	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp HPA0037
22	s__Eubacterium_rectale	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium rectale
23	s__Bifidobacterium_bifidum	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
24	s__Clostridium_sp_SS2_1	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp SS2 1
25	s__Roseburia_inulinivorans	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
26	s__Eubacterium_ramulus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ramulus
27	g__Clostridium	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
